Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V9S4T0BW,Samsung,990 Evo Plus M.2 4TB,28,381,6585,https://ssd.userbenchmark.com/Samsung-990-Evo-Plus-M2-4TB/Rating/4178
SSD,MZ-V9S4T0B/AM,Samsung,990 Evo Plus M.2 4TB,28,381,6585,https://ssd.userbenchmark.com/Samsung-990-Evo-Plus-M2-4TB/Rating/4178
SSD,WDS100T1X0E,WD,Black SN850 NVMe PCIe M.2 1TB,29,380,15320,https://ssd.userbenchmark.com/SpeedTest/1348947/WD-BLACK-SN850-1TB
SSD,MZ-V8P2T0B,Samsung,980 Pro NVMe PCIe M.2 2TB,30,373,228435,https://ssd.userbenchmark.com/SpeedTest/1454302/Samsung-SSD-980-PRO-2TB
SSD,MZ-V9P1T0BW,Samsung,990 Pro M.2 1TB,31,369,84027,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-1TB/Rating/4160
SSD,MZ-V9P1T0B/AM,Samsung,990 Pro M.2 1TB,31,369,84027,https://ssd.userbenchmark.com/Samsung-990-Pro-M2-1TB/Rating/4160
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,32,362,5560,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,32,362,5560,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,MZ-V9S2T0BW,Samsung,990 Evo Plus M.2 2TB,33,358,23410,https://ssd.userbenchmark.com/Samsung-990-Evo-Plus-M2-2TB/Rating/4177
SSD,MZ-V9S2T0B/AM,Samsung,990 Evo Plus M.2 2TB,33,358,23410,https://ssd.userbenchmark.com/Samsung-990-Evo-Plus-M2-2TB/Rating/4177
SSD,MZ-V8P1T0B,Samsung,980 Pro NVMe PCIe M.2 1TB,34,345,452996,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB
SSD,CT1000P5PSSD8,Crucial,P5 Plus NVMe PCIe M.2 1TB,35,344,43068,https://ssd.userbenchmark.com/SpeedTest/1627622/CT1000P5PSSD8
SSD,WDS500G1X0E,WD ,Black SN850 NVMe PCIe M.2 500GB,36,325,1628,https://ssd.userbenchmark.com/SpeedTest/1366573/WD-BLACK-SN850-500GB
SSD,MZ-V7S2T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,37,315,248584,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7S2T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,37,315,248584,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,CT500P5PSSD8,Crucial,P5 Plus NVMe PCIe M.2 500GB,38,302,17775,https://ssd.userbenchmark.com/SpeedTest/1633274/CT500P5PSSD8
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,39,301,9242,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,MZ-V8P500B,Samsung,980 Pro NVMe PCIe M.2 500GB,40,301,137048,https://ssd.userbenchmark.com/SpeedTest/1307906/Samsung-SSD-980-PRO-500GB
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,41,298,14696,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
SSD,MZ-V9S1T0BW,Samsung,990 Evo Plus M.2 1TB,42,295,17020,https://ssd.userbenchmark.com/Samsung-990-Evo-Plus-M2-1TB/Rating/4176
SSD,MZ-V9S1T0B/AM,Samsung,990 Evo Plus M.2 1TB,42,295,17020,https://ssd.userbenchmark.com/Samsung-990-Evo-Plus-M2-1TB/Rating/4176
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,43,294,67953,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,MZ-V9E2T0B,Samsung,990 Evo M.2 2TB,44,292,8901,https://ssd.userbenchmark.com/SpeedTest/2282283/Samsung-SSD-990-EVO-2TB
SSD,SSDPEKNU020TZX1,Intel,670p NVMe PCIe M.2 2TB,45,288,7169,https://ssd.userbenchmark.com/SpeedTest/1393067/INTEL-SSDPEKNU020TZ
SSD,MZ-V7S1T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,46,287,869653,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,46,287,869653,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 2TB,47,284,18714,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,48,280,184932,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,49,279,137,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,WDS250G3X0E,WD,Black SN770 NVMe PCIe M.2 250GB,50,278,2475,https://ssd.userbenchmark.com/SpeedTest/1801563/WD-BLACK-SN770-250GB
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,51,274,542617,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,5MS24AA#ABC,HP,EX950 NVMe PCIe M.2 2TB,52,272,3855,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB
SSD,SSDPEK1W120GA01,Intel,800p NVMe PCIe M.2 118GB,53,270,187,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,54,269,90201,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,55,267,78294,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,56,266,17348,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,MZ-V7S500BW,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,57,264,777976,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,57,264,777976,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,58,264,817,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,CT1000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 1TB,59,263,45601,https://ssd.userbenchmark.com/SpeedTest/1217319/CT1000P5SSD8
SSD,GP-ASM2NE6100TTTD,Gigabyte,Aorus NVMe PCIe M.2 1TB,60,261,34720,https://ssd.userbenchmark.com/SpeedTest/842989/GIGABYTE-GP-ASM2NE6100TTTD
SSD,CT2000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 2TB,61,260,8754,https://ssd.userbenchmark.com/SpeedTest/1232397/CT2000P5SSD8
SSD,MZ-V9E1T0B,Samsung,990 Evo M.2 1TB,62,258,11527,https://ssd.userbenchmark.com/SpeedTest/2283133/Samsung-SSD-990-EVO-1TB
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,63,257,3524,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,64,257,4626,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,65,256,153583,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,MZ-V8P250BW,Samsung,980 Pro NVMe PCIe M.2 250GB,66,251,33706,https://ssd.userbenchmark.com/SpeedTest/1311638/Samsung-SSD-980-PRO-250GB
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,67,251,8962,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,WDS100T3X0C,WD,Black SN750 NVMe PCIe M.2 1TB (2019),68,250,201005,https://ssd.userbenchmark.com/SpeedTest/703216/WDS100T3X0C-00SJG0
SSD,MZ-V7E500BW,Samsung,970 Evo NVMe PCIe M.2 500GB,69,248,769322,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),70,245,7796,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,71,244,31318,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),72,242,6755,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),73,235,10958,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,74,232,66461,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,CT500P5SSD8,Crucial,P5 3D NVMe PCIe M.2 500GB,75,231,39546,https://ssd.userbenchmark.com/SpeedTest/1213080/CT500P5SSD8
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,76,231,108855,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,77,230,5008,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,MZ-V8V1T0B,Samsung,980 NVMe PCIe M.2 1TB,78,229,329695,https://ssd.userbenchmark.com/SpeedTest/1488476/Samsung-SSD-980-1TB
SSD,SB-ROCKET-NVMe4-500,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,79,229,25490,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,80,228,288101,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,80,228,288101,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,81,228,26138,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,WDS100T1B0E,WD,Black SN750 SE NVMe PCIe M.2 1TB,82,227,39970,https://ssd.userbenchmark.com/SpeedTest/1625969/WD-BLACK-SN750-SE-1TB
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,83,226,763,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,SSDPEKNU010TZX1,Intel,670p NVMe PCIe M.2 1TB,84,226,30226,https://ssd.userbenchmark.com/SpeedTest/1493432/INTEL-SSDPEKNU010TZ
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,85,223,55245,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),86,222,223158,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,87,221,164953,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,88,217,7951,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,89,217,4948,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,90,216,408835,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,91,215,16977,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,92,215,53760,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),93,213,12674,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,94,211,78997,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,95,209,1899,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,MZ-V8V500B,Samsung,980 NVMe PCIe M.2 500GB,96,208,135887,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,97,208,9406,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,98,208,18076,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),99,208,47990,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,100,207,321549,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,101,202,2806,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,102,202,5214,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,103,201,299285,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,WDS500G1B0E,WD,Black SN750 SE NVMe PCIe M.2 500GB,104,201,25821,https://ssd.userbenchmark.com/SpeedTest/1628435/WD-BLACK-SN750-SE-500GB
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,105,200,4535,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,106,200,36114,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,107,200,75216,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,CT2000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 2TB,108,197,18440,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,109,197,58666,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,110,196,129208,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,111,195,73,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,112,195,463,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,113,195,279688,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,114,195,23501,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,115,195,13092,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,116,193,44,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,117,191,221,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,118,191,3721,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,,Intel,Optane+ NVMe PCIe 128GB,119,189,269,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,120,186,526611,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,121,185,159,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,122,184,296,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,123,184,219823,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),124,182,42741,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,125,182,3097,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,126,182,79715,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,MZ-V8V250B,Samsung,980 NVMe PCIe M.2 250GB,127,181,15921,https://ssd.userbenchmark.com/SpeedTest/1501500/Samsung-SSD-980-250GB
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,128,181,70604,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,129,179,21303,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,130,178,16486,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,131,177,14655,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),132,176,23757,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,133,175,3994,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,CT1000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 1TB,134,175,106516,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,135,174,26020,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,136,173,76316,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
